代码	名称	涨幅	最新	涨跌	总额	委买价	委卖价	换手率	总市值	流通市值	昨收	今开	最高	最低
603589	口子窖	-1.32%	29.99	-0.40	1.11亿	29.98	29.99	0.61%	179.94亿	179.94亿	30.39	30.31	30.40	29.97
603596	伯特利	-2.32%	44.57	-1.06	2.82亿	44.56	44.57	15.42%	182.10亿	18.21亿	45.63	45.46	45.60	44.36
603605	珀莱雅	-1.06%	68.46	-0.73	2.21亿	68.45	68.46	6.41%	137.67亿	34.23亿	69.19	69.09	69.74	68.33
603606	东方电缆	-1.42%	58.14	-0.84	2.64亿	58.14	58.15	1.08%	292.54亿	244.08亿	58.98	58.73	59.20	58.00
603613	国联股份	-2.24%	29.63	-0.68	3.71亿	29.62	29.63	0.00%	-	-	30.31	30.20	30.61	29.57
603638	艾迪精密	-1.92%	19.38	-0.38	1.66亿	19.37	19.38	9.99%	50.48亿	16.47亿	19.76	19.76	19.83	19.36
603650	彤程新材	1.36%	44.69	0.60	12.95亿	44.68	44.69	49.51%	261.88亿	26.28亿	44.09	44.41	45.39	43.70
603658	安图生物	-0.86%	35.67	-0.31	6655.78万	35.66	35.67	1.36%	149.81亿	48.70亿	35.98	35.91	36.02	35.64
603688	石英股份	1.58%	37.21	0.58	2.95亿	37.20	37.21	2.36%	125.51亿	125.33亿	36.63	36.64	37.41	36.46
603707	健友股份	-1.46%	9.46	-0.14	9616.20万	9.46	9.47	3.55%	52.26亿	26.92亿	9.60	9.58	9.60	9.46
603712	七一二	-0.83%	21.45	-0.18	3.28亿	21.45	21.46	15.26%	165.59亿	21.45亿	21.63	21.36	21.68	21.30
603719	良品铺子	0.82%	12.28	0.10	7481.21万	12.28	12.30	0.00%	-	-	12.18	12.20	12.47	12.05
603737	三棵树	-1.49%	44.89	-0.68	1.08亿	44.89	44.94	5.66%	59.76亿	19.05亿	45.57	45.55	46.00	44.73
603786	科博达	-1.09%	72.82	-0.80	1.15亿	72.82	72.85	0.00%	-	-	73.62	72.78	74.04	72.51
603816	顾家家居	-1.78%	29.79	-0.54	1.79亿	29.79	29.80	6.67%	128.30亿	26.54亿	30.33	30.35	30.78	29.71
603858	步长制药	-1.72%	16.58	-0.29	8700.70万	16.57	16.58	1.22%	146.96亿	70.66亿	16.87	16.84	16.92	16.56
603866	桃李面包	-0.18%	5.42	-0.01	9778.88万	5.42	5.43	30.46%	25.51亿	3.21亿	5.43	5.42	5.48	5.37
603868	飞科电器	-0.60%	34.81	-0.21	1385.75万	34.81	34.86	0.91%	151.63亿	15.18亿	35.02	34.94	35.18	34.72
603883	老百姓	-1.07%	15.76	-0.17	8898.65万	15.76	15.77	2.10%	44.91亿	42.08亿	15.93	15.90	15.92	15.74
603885	吉祥航空	-3.18%	13.40	-0.44	2.06亿	13.40	13.42	0.85%	240.80亿	240.80亿	13.84	13.60	13.90	13.26
603893	瑞芯微	0.55%	181.51	1.00	18.60亿	181.51	181.54	0.00%	-	-	180.51	181.34	186.90	180.88
603927	中科软	-1.84%	19.25	-0.36	1.44亿	19.25	19.27	0.00%	-	-	19.61	19.61	19.64	19.25
603939	益丰药房	-0.82%	22.91	-0.19	1.40亿	22.91	22.92	1.68%	83.09亿	83.09亿	23.10	23.06	23.25	22.84
605358	立昂微	1.14%	30.16	0.34	5.98亿	30.15	30.16	0.00%	-	-	29.82	29.83	30.87	29.66
688002	睿创微纳	0.91%	85.30	0.77	6.11亿	85.30	85.35	0.00%	-	-	84.53	84.22	85.90	83.51
688006	杭可科技	-1.83%	28.95	-0.54	2.15亿	28.95	28.97	0.00%	-	-	29.49	29.35	29.45	28.80
688009	中国通号	-0.57%	5.24	-0.03	9347.46万	5.24	5.25	0.00%	-	-	5.27	5.28	5.30	5.23
688029	南微医学	-1.67%	78.52	-1.33	1.23亿	78.52	78.53	0.00%	-	-	79.85	79.50	79.83	78.15
688063	派能科技	-1.18%	58.69	-0.70	2.30亿	58.69	58.70	0.00%	-	-	59.39	58.99	59.71	58.45
688088	虹软科技	-0.64%	48.09	-0.31	2.05亿	48.08	48.09	0.00%	-	-	48.40	48.17	49.08	48.07
688099	晶晨股份	-3.40%	88.29	-3.11	11.07亿	88.29	88.30	0.00%	-	-	91.40	90.55	91.57	87.86
688116	天奈科技	-1.74%	49.26	-0.87	3.60亿	49.25	49.26	0.00%	-	-	50.13	50.05	50.37	49.01
