代码	名称	涨幅	最新	涨跌	总额	委买价	委卖价	换手率	总市值	流通市值	昨收	今开	最高	最低
002019	亿帆医药	-1.74%	12.39	-0.22	1.69亿	12.39	12.40	1.65%	149.54亿	100.76亿	12.61	12.69	12.87	12.38
002025	航天电器	0.79%	44.55	0.35	8.31亿	44.55	44.56	4.37%	191.12亿	191.07亿	44.20	43.53	45.00	43.48
002028	思源电气	1.12%	156.76	1.73	11.50亿	156.76	156.78	1.27%	1191.70亿	909.52亿	155.03	154.01	159.66	152.50
002030	达安基因	-2.02%	6.29	-0.13	9422.37万	6.29	6.30	1.95%	50.16亿	48.04亿	6.42	6.41	6.42	6.28
002048	宁波华翔	3.29%	28.60	0.91	9.27亿	28.60	28.61	6.98%	179.10亿	131.63亿	27.69	27.74	29.47	27.56
002056	横店东磁	-0.73%	19.16	-0.14	2.75亿	19.16	19.17	0.87%	314.91亿	314.70亿	19.30	19.18	19.35	19.08
002065	东华软件	-1.09%	9.99	-0.11	5.81亿	9.98	9.99	2.07%	311.24亿	280.49亿	10.10	10.05	10.07	9.98
002078	太阳纸业	-2.19%	14.75	-0.33	2.26亿	14.75	14.76	0.60%	382.41亿	373.37亿	15.08	15.09	15.16	14.70
002080	中材科技	0.14%	35.36	0.05	15.72亿	35.35	35.36	6.97%	456.45亿	226.30亿	35.31	35.29	35.95	34.63
002081	金 螳 螂	-1.22%	3.23	-0.04	6332.22万	3.22	3.23	0.76%	85.38亿	83.04亿	3.27	3.27	3.28	3.22
002092	中泰化学	-1.26%	4.70	-0.06	1.33亿	4.69	4.70	1.39%	100.88亿	95.62亿	4.76	4.75	4.75	4.68
002110	三钢闽光	-1.23%	4.83	-0.06	3.69亿	4.82	4.83	7.71%	78.94亿	47.85亿	4.89	4.85	4.92	4.75
002124	天邦食品	0.00%	2.74	0.00	8812.01万	2.73	2.74	4.07%	31.77亿	21.70亿	2.74	2.73	2.75	2.71
002127	南极电商	-0.57%	3.46	-0.02	1.02亿	3.45	3.46	1.98%	84.94亿	51.20亿	3.48	3.47	3.51	3.45
002128	电投能源	-4.18%	26.80	-1.17	5.04亿	26.80	26.81	1.14%	438.01亿	438.01亿	27.97	27.76	27.95	26.48
002131	利欧股份	-2.72%	5.01	-0.14	12.27亿	5.01	5.02	7.19%	278.49亿	169.59亿	5.15	5.08	5.10	5.00
002138	顺络电子	1.58%	36.08	0.56	9.20亿	36.07	36.08	3.66%	292.98亿	252.51亿	35.52	35.49	36.37	35.38
002146	荣盛发展	-2.47%	1.58	-0.04	2.99亿	1.57	1.58	4.84%	68.70亿	61.52亿	1.62	1.61	1.62	1.57
002152	广电运通	-1.21%	12.23	-0.15	1.92亿	12.22	12.23	0.79%	297.05亿	241.99亿	12.38	12.35	12.40	12.22
002153	石基信息	-2.78%	10.85	-0.31	4.98亿	10.84	10.85	9.36%	115.75亿	52.56亿	11.16	11.11	11.25	10.84
002155	湖南黄金	-2.03%	20.74	-0.43	7.53亿	20.74	20.75	3.02%	249.30亿	249.28亿	21.17	21.01	21.03	20.57
002156	通富微电	0.05%	37.65	0.02	18.91亿	37.64	37.65	5.14%	434.37亿	366.12亿	37.63	37.78	38.32	37.48
002183	怡 亚 通	-1.44%	4.78	-0.07	1.28亿	4.78	4.79	1.26%	101.46亿	101.35亿	4.85	4.84	4.85	4.78
002185	华天科技	-1.34%	11.05	-0.15	5.21亿	11.05	11.06	2.20%	235.49亿	235.41亿	11.20	11.12	11.23	11.05
002191	劲嘉股份	0.71%	4.24	0.03	9238.62万	4.23	4.24	1.66%	63.38亿	55.20亿	4.21	4.24	4.32	4.22
002192	融捷股份	-2.45%	48.95	-1.23	5.65亿	48.95	48.97	4.85%	127.10亿	116.01亿	50.18	49.50	49.86	48.73
002195	岩山科技	-1.70%	6.93	-0.12	7.94亿	6.93	6.94	2.68%	307.90亿	293.14亿	7.05	7.02	7.08	6.92
002203	海亮股份	-0.68%	11.72	-0.08	2.03亿	11.72	11.73	1.07%	228.83亿	190.68亿	11.80	11.76	11.87	11.54
002212	天融信	-1.74%	9.05	-0.16	2.11亿	9.05	9.06	2.96%	103.79亿	70.76亿	9.21	9.16	9.18	9.03
002221	东华能源	-0.39%	7.75	-0.03	4277.40万	7.75	7.76	0.36%	127.86亿	117.61亿	7.78	7.77	7.81	7.73
002223	鱼跃医疗	-0.61%	35.62	-0.22	1.49亿	35.61	35.62	0.49%	357.08亿	304.59亿	35.84	35.80	36.00	35.53
002242	九阳股份	-0.09%	10.68	-0.01	1.77亿	10.67	10.68	2.16%	81.97亿	81.37亿	10.69	10.65	10.94	10.65
002244	滨江集团	-4.15%	9.71	-0.42	5.01亿	9.71	9.72	1.88%	302.12亿	262.45亿	10.13	10.05	10.37	9.68
002249	大洋电机	-2.08%	10.84	-0.23	8.50亿	10.84	10.85	5.69%	256.95亿	148.02亿	11.07	11.02	11.12	10.83
002250	联化科技	-0.08%	12.01	-0.01	2.70亿	12.00	12.01	2.53%	111.20亿	106.75亿	12.02	11.98	12.10	11.84
002266	浙富控股	-1.72%	4.01	-0.07	1.94亿	4.01	4.02	2.97%	79.35亿	64.90亿	4.08	4.06	4.08	4.00
002268	电科网安	0.97%	18.72	0.18	5.16亿	18.72	18.73	3.39%	156.94亿	151.61亿	18.54	18.50	19.20	18.40
002273	水晶光电	-1.53%	24.46	-0.38	7.18亿	24.46	24.47	3.61%	211.05亿	198.08亿	24.84	24.68	24.84	24.36
002281	光迅科技	1.47%	66.40	0.96	29.87亿	66.39	66.40	7.22%	430.05亿	413.52亿	65.44	65.66	67.38	65.51
002294	信立泰	0.74%	61.10	0.45	2.56亿	61.10	61.11	0.40%	639.12亿	639.12亿	60.65	61.58	62.17	60.67
002299	圣农发展	0.37%	16.14	0.06	1.60亿	16.13	16.14	0.89%	200.05亿	179.30亿	16.08	16.11	16.27	16.01
002326	永太科技	-1.08%	22.92	-0.25	7.54亿	22.92	22.93	6.10%	187.97亿	123.41亿	23.17	23.02	23.26	22.70
002340	格林美	-2.52%	7.35	-0.19	7.97亿	7.35	7.36	3.44%	305.18亿	230.19亿	7.54	7.50	7.51	7.34
002353	杰瑞股份	0.28%	70.90	0.20	18.24亿	70.89	70.90	3.83%	679.12亿	477.16亿	70.70	70.60	72.14	69.53
002368	太极股份	-0.82%	24.09	-0.20	8498.15万	24.09	24.10	0.88%	100.03亿	96.45亿	24.29	24.20	24.40	24.09
002372	伟星新材	-1.53%	10.28	-0.16	1.00亿	10.28	10.29	0.83%	134.76亿	120.44亿	10.44	10.48	10.48	10.26
002373	千方科技	-1.11%	10.72	-0.12	2.13亿	10.71	10.72	2.36%	157.33亿	89.98亿	10.84	10.80	10.86	10.69
002384	东山精密	3.24%	77.80	2.44	63.11亿	77.79	77.80	7.06%	1249.91亿	904.83亿	75.36	75.00	79.53	74.02
002385	大北农	-0.74%	4.01	-0.03	1.54亿	4.00	4.01	1.46%	170.14亿	105.66亿	4.04	4.03	4.04	4.00
002396	星网锐捷	4.51%	30.37	1.31	15.56亿	30.36	30.37	9.44%	177.14亿	163.73亿	29.06	30.00	31.13	29.80
002399	海普瑞	-0.34%	11.90	-0.04	3457.46万	11.88	11.90	0.23%	148.42亿	148.42亿	11.94	11.95	12.01	11.87
002407	多氟多	-0.06%	31.59	-0.02	27.12亿	31.59	31.60	15.81%	221.97亿	171.53亿	31.61	31.33	32.26	30.80
002408	齐翔腾达	-1.27%	4.68	-0.06	8577.89万	4.67	4.68	1.05%	83.08亿	81.62亿	4.74	4.74	4.75	4.66
002409	雅克科技	-1.51%	71.28	-1.09	5.76亿	71.27	71.28	4.38%	329.92亿	130.55亿	72.37	71.82	72.47	70.85
002416	爱施德	-0.34%	11.87	-0.04	1.19亿	11.86	11.87	0.85%	147.10亿	139.26亿	11.91	11.88	12.00	11.83
002422	科伦药业	-1.67%	32.45	-0.55	3.94亿	32.44	32.45	1.17%	467.23亿	334.01亿	33.00	32.91	33.46	32.22
002423	中粮资本	-1.86%	11.63	-0.22	1.83亿	11.62	11.63	3.10%	58.50亿	58.50亿	11.85	11.80	11.81	11.61
002429	兆驰股份	0.58%	6.93	0.04	6.40亿	6.93	6.94	2.31%	313.72亿	275.32亿	6.89	6.86	7.09	6.86
002430	杭氧股份	-1.95%	28.70	-0.57	4.12亿	28.69	28.70	1.51%	276.84亿	272.59亿	29.27	28.96	29.33	28.52
002434	万里扬	0.22%	8.98	0.02	1.39亿	8.97	8.98	1.51%	121.23亿	91.51亿	8.96	8.93	9.12	8.86
002439	启明星辰	-1.57%	14.41	-0.23	1.37亿	14.40	14.41	1.62%	129.21亿	84.36亿	14.64	14.61	14.62	14.40
002444	巨星科技	0.54%	35.26	0.19	3.98亿	35.26	35.28	1.12%	379.13亿	356.78亿	35.07	35.07	35.69	34.90
002465	海格通信	1.25%	12.97	0.16	15.94亿	12.96	12.97	6.01%	299.21亿	268.54亿	12.81	12.57	13.15	12.47
002468	申通快递	-2.46%	13.88	-0.35	3.07亿	13.87	13.88	6.61%	212.48亿	46.05亿	14.23	14.16	14.35	13.81
002497	雅化集团	-3.61%	21.10	-0.79	5.93亿	21.10	21.11	3.42%	202.56亿	171.93亿	21.89	21.59	21.68	21.01
002500	山西证券	-0.66%	6.05	-0.04	1.04亿	6.05	6.06	0.61%	171.14亿	171.14亿	6.09	6.08	6.10	6.04
002506	协鑫集成	3.62%	2.86	0.10	19.46亿	2.85	2.86	27.55%	144.78亿	72.17亿	2.76	2.76	2.95	2.70
002507	涪陵榨菜	-0.69%	12.92	-0.09	1.53亿	12.92	12.93	1.54%	101.98亿	99.71亿	13.01	13.00	13.02	12.87
002508	老板电器	-0.91%	19.60	-0.18	1.15亿	19.59	19.60	0.63%	186.01亿	183.17亿	19.78	19.76	19.86	19.55
002511	中顺洁柔	-1.11%	7.99	-0.09	8243.02万	7.99	8.00	0.82%	102.81亿	100.47亿	8.08	8.06	8.12	7.98
002531	天顺风能	-3.01%	6.77	-0.21	2.25亿	6.76	6.77	1.86%	120.44亿	119.76亿	6.98	6.97	6.99	6.75
002532	天山铝业	-5.44%	13.38	-0.77	10.34亿	13.38	13.39	20.28%	67.31亿	50.56亿	14.15	13.99	14.00	13.16
002557	洽洽食品	0.14%	21.22	0.03	8276.68万	21.21	21.22	0.77%	107.59亿	107.59亿	21.19	21.15	21.35	21.10
002563	森马服饰	-1.58%	5.61	-0.09	3.09亿	5.60	5.61	2.98%	151.46亿	103.16亿	5.70	5.68	5.73	5.56
002568	百润股份	-4.04%	21.40	-0.90	3.16亿	21.39	21.40	3.92%	113.79亿	79.77亿	22.30	22.21	22.27	21.22
002572	索菲亚	-0.57%	13.87	-0.08	1.82亿	13.87	13.89	2.04%	128.08亿	88.52亿	13.95	13.91	14.16	13.76
002595	豪迈科技	3.56%	76.86	2.64	3.22亿	76.86	76.88	0.79%	614.88亿	405.71亿	74.22	74.14	77.80	73.70
002603	以岭药业	-2.12%	17.57	-0.38	4.39亿	17.57	17.58	2.51%	211.95亿	173.84亿	17.95	17.90	17.94	17.54
002624	完美世界	0.92%	14.29	0.13	4.53亿	14.28	14.29	6.77%	187.88亿	66.62亿	14.16	14.13	14.55	14.11
002625	光启技术	-1.14%	49.60	-0.57	13.39亿	49.60	49.64	6.30%	1068.68亿	211.80亿	50.17	49.98	50.39	49.38
002653	海思科	-0.33%	61.27	-0.20	9582.93万	61.27	61.29	0.34%	661.88亿	278.47亿	61.47	61.89	62.36	60.71
002670	国盛证券	-2.57%	17.46	-0.46	4.91亿	17.45	17.46	4.44%	337.87亿	109.59亿	17.92	17.75	17.83	17.42
002673	西部证券	-1.11%	8.01	-0.09	1.87亿	8.00	8.01	0.66%	280.50亿	280.50亿	8.10	8.08	8.10	8.00
002683	广东宏大	-2.84%	38.66	-1.13	5.91亿	38.66	38.67	2.56%	271.20亿	231.15亿	39.79	39.04	39.42	38.20
002690	美亚光电	-1.36%	20.37	-0.28	8624.94万	20.37	20.38	1.28%	137.70亿	66.69亿	20.65	20.65	20.79	20.33
002701	奥瑞金	1.39%	5.85	0.08	2.06亿	5.84	5.85	1.48%	137.78亿	137.67亿	5.77	5.81	6.00	5.78
002705	新宝股份	-0.82%	14.60	-0.12	7573.56万	14.59	14.60	1.11%	118.76亿	67.64亿	14.72	14.71	14.81	14.56
002738	中矿资源	-3.04%	63.86	-2.00	13.19亿	63.85	63.86	16.34%	160.36亿	80.25亿	65.86	65.21	65.68	63.00
002739	万达电影	0.27%	11.18	0.03	4.65亿	11.18	11.19	2.42%	196.93亿	191.21亿	11.15	11.15	11.37	11.13
002745	木林森	1.18%	9.44	0.11	2.87亿	9.43	9.44	5.87%	120.56亿	49.08亿	9.33	9.36	9.53	9.29
002797	第一创业	-1.43%	6.87	-0.10	2.88亿	6.86	6.87	2.17%	240.61亿	131.80亿	6.97	6.93	6.96	6.86
002831	裕同科技	0.72%	29.22	0.21	1.29亿	29.20	29.22	3.71%	116.88亿	34.91亿	29.01	28.85	29.40	28.75
002850	科达利	-7.09%	152.10	-11.61	12.63亿	152.03	152.11	8.82%	319.41亿	141.30亿	163.71	161.66	162.56	150.20
002867	周大生	-1.72%	11.99	-0.21	1.39亿	11.99	12.00	7.07%	58.20亿	19.55亿	12.20	12.19	12.22	11.95
002901	大博医疗	-0.70%	48.16	-0.34	7222.28万	48.16	48.18	3.71%	192.69亿	19.31亿	48.50	48.45	49.20	48.15
002925	盈趣科技	4.88%	20.22	0.94	10.10亿	20.21	20.22	68.46%	92.71亿	15.11亿	19.28	19.07	20.50	18.90
002926	华西证券	-1.45%	9.51	-0.14	1.40亿	9.51	9.52	2.79%	249.64亿	49.93亿	9.65	9.61	9.65	9.51
002936	郑州银行	-1.01%	1.97	-0.02	1.82亿	1.97	1.98	15.29%	86.76亿	11.82亿	1.99	1.99	2.00	1.97
002939	长城证券	-2.01%	10.23	-0.21	3.89亿	10.22	10.23	12.19%	317.48亿	31.75亿	10.44	10.32	10.37	10.20
002945	华林证券	-1.35%	14.66	-0.20	8276.49万	14.65	14.66	0.21%	395.82亿	395.82亿	14.86	14.80	14.83	14.65
002948	青岛银行	-0.21%	4.71	-0.01	1.18亿	4.70	4.71	0.80%	166.19亿	146.60亿	4.72	4.71	4.73	4.69
002958	青农商行	-1.25%	3.16	-0.04	1.36亿	3.16	3.17	0.79%	175.56亿	171.89亿	3.20	3.20	3.21	3.16
002966	苏州银行	0.12%	8.15	0.01	2.47亿	8.15	8.16	0.68%	364.36亿	358.25亿	8.14	8.15	8.23	8.14
002985	北摩高科	-1.20%	27.94	-0.34	1.04亿	27.94	27.95	2.11%	92.72亿	48.97亿	28.28	28.38	28.58	27.82
003035	南网能源	-0.65%	4.60	-0.03	4696.85万	4.60	4.61	0.27%	174.24亿	174.24亿	4.63	4.62	4.65	4.60
300001	特锐德	-0.77%	25.80	-0.20	3.56亿	25.80	25.81	1.58%	257.37亿	223.93亿	26.00	25.97	26.20	25.75
300003	乐普医疗	-0.94%	15.74	-0.15	1.61亿	15.74	15.75	0.72%	280.43亿	221.48亿	15.89	15.94	16.01	15.74
300009	安科生物	-0.72%	9.72	-0.07	1.05亿	9.72	9.73	1.62%	96.95亿	64.30亿	9.79	9.78	9.85	9.71
300012	华测检测	-1.54%	13.45	-0.21	1.81亿	13.45	13.47	0.89%	222.94亿	202.38亿	13.66	13.66	13.70	13.44
300017	网宿科技	-1.26%	10.18	-0.13	4.63亿	10.17	10.18	2.34%	247.73亿	195.75亿	10.31	10.31	10.45	10.16
300024	机器人	-2.38%	17.61	-0.43	5.63亿	17.60	17.61	2.10%	274.76亿	266.55亿	18.04	18.00	18.00	17.56
300026	红日药业	-2.38%	3.69	-0.09	1.90亿	3.68	3.69	2.14%	111.11亿	88.34亿	3.78	3.77	3.78	3.67
300037	新宙邦	-1.37%	49.06	-0.68	6.63亿	49.06	49.07	5.52%	186.15亿	119.51亿	49.74	49.37	50.22	48.51
300058	蓝色光标	-3.66%	9.22	-0.35	38.16亿	9.22	9.23	24.69%	201.19亿	153.27亿	9.57	9.42	9.52	9.16
300070	碧水源	-1.20%	4.11	-0.05	8947.59万	4.10	4.11	1.08%	129.49亿	82.84亿	4.16	4.16	4.17	4.10
300072	海新能科	-1.55%	4.45	-0.07	1.68亿	4.44	4.45	1.77%	104.60亿	94.24亿	4.52	4.53	4.57	4.43
300073	当升科技	-0.46%	58.80	-0.27	5.55亿	58.79	58.80	2.67%	256.79亿	208.05亿	59.07	59.07	59.53	58.25
300088	长信科技	-0.98%	6.04	-0.06	1.83亿	6.03	6.04	1.34%	138.85亿	136.61亿	6.10	6.10	6.13	6.03
300115	长盈精密	-3.80%	43.50	-1.72	58.56亿	43.50	43.51	14.81%	395.79亿	393.93亿	45.22	43.67	44.67	43.00
300136	信维通信	-0.09%	33.82	-0.03	13.05亿	33.82	33.83	4.74%	329.95亿	273.96亿	33.85	34.40	34.66	33.56
300144	宋城演艺	-1.36%	7.95	-0.11	1.22亿	7.95	7.96	1.29%	115.48亿	94.06亿	8.06	8.05	8.06	7.95
300146	汤臣倍健	-0.76%	11.69	-0.09	1.62亿	11.68	11.69	1.57%	171.70亿	102.80亿	11.78	11.80	11.81	11.68
300168	万达信息	-1.77%	6.66	-0.12	7830.32万	6.66	6.67	1.07%	73.22亿	72.71亿	6.78	6.77	6.79	6.65
300182	捷成股份	-0.73%	5.43	-0.04	2.47亿	5.42	5.43	2.59%	139.82亿	94.38亿	5.47	5.46	5.55	5.42
300212	易华录	-2.93%	17.58	-0.53	1.77亿	17.58	17.59	2.34%	79.22亿	74.51亿	18.11	18.05	18.11	17.58
300244	迪安诊断	-0.26%	15.14	-0.04	1.79亿	15.14	15.15	3.27%	83.43亿	54.02亿	15.18	15.60	15.60	15.08
300251	光线传媒	0.00%	16.30	0.00	4.50亿	16.30	16.31	1.00%	478.18亿	448.59亿	16.30	16.28	16.61	16.24
300253	卫宁健康	-0.73%	8.21	-0.06	3.57亿	8.20	8.21	3.48%	132.70亿	101.56亿	8.27	8.35	8.48	8.18
300257	开山股份	-0.96%	14.51	-0.14	7833.98万	14.51	14.52	0.66%	124.50亿	118.62亿	14.65	14.64	14.64	14.38
300285	国瓷材料	2.18%	23.40	0.50	7.03亿	23.40	23.41	7.38%	150.28亿	95.35亿	22.90	22.76	24.08	22.57
300296	利亚德	-1.23%	6.42	-0.08	2.65亿	6.42	6.43	2.49%	163.25亿	105.56亿	6.50	6.45	6.53	6.40
300308	中际旭创	6.32%	606.00	36.00	221.79亿	606.00	606.04	17.01%	2881.55亿	1322.57亿	570.00	570.09	613.00	568.54
300357	我武生物	-0.92%	30.08	-0.28	8069.54万	30.08	30.13	1.05%	87.50亿	76.40亿	30.36	30.36	30.58	30.01
300363	博腾股份	0.34%	23.50	0.08	2.13亿	23.50	23.51	2.90%	127.55亿	72.82亿	23.42	23.40	24.09	23.35
300373	扬杰科技	-0.55%	65.40	-0.36	6.06亿	65.39	65.40	3.94%	308.86亿	152.49亿	65.76	65.56	66.78	65.13
300376	ST易事特	1.34%	6.06	0.08	4.13亿	6.05	6.06	2.84%	141.07亿	139.88亿	5.98	6.28	6.59	6.02
300383	光环新网	4.56%	13.29	0.58	14.52亿	13.28	13.29	7.99%	204.62亿	181.71亿	12.71	12.96	13.47	12.96
300390	天华新能	-3.12%	50.04	-1.61	19.62亿	50.04	50.08	23.13%	172.41亿	84.46亿	51.65	50.90	51.60	49.14
300418	昆仑万维	-0.29%	40.98	-0.12	15.09亿	40.97	40.98	5.91%	472.07亿	255.15亿	41.10	40.87	41.49	40.65
300463	迈克生物	-0.96%	11.34	-0.11	4035.59万	11.33	11.34	0.97%	63.28亿	41.61亿	11.45	11.42	11.48	11.34
300474	景嘉微	-0.42%	73.09	-0.31	6.12亿	73.08	73.09	12.32%	197.93亿	49.69亿	73.40	72.72	74.00	72.41
300482	万孚生物	0.19%	20.86	0.04	6604.73万	20.86	20.87	1.42%	71.54亿	46.31亿	20.82	20.80	21.04	20.73
300558	贝达药业	-0.06%	48.23	-0.03	2.88亿	48.23	48.25	3.49%	193.40亿	81.85亿	48.26	48.26	49.32	47.91
300568	星源材质	-1.42%	15.26	-0.22	9.54亿	15.26	15.27	48.77%	29.30亿	19.64亿	15.48	15.23	15.48	14.95
300604	长川科技	-0.80%	87.12	-0.70	29.89亿	87.12	87.13	52.32%	129.15亿	57.21亿	87.82	86.60	88.98	85.01
300618	寒锐钴业	-2.33%	44.08	-1.05	3.35亿	44.07	44.08	6.66%	84.63亿	50.24亿	45.13	44.86	44.86	43.81
300676	华大基因	-0.80%	44.64	-0.36	1.10亿	44.64	44.65	1.00%	178.60亿	110.06亿	45.00	45.05	45.36	44.60
300677	英科医疗	-4.32%	41.83	-1.89	6.86亿	41.82	41.83	15.77%	82.18亿	43.39亿	43.72	43.53	43.53	41.09
300682	朗新集团	-1.36%	15.20	-0.21	1.70亿	15.20	15.22	6.86%	63.34亿	24.60亿	15.41	15.33	15.55	15.14
300699	光威复材	-0.36%	30.45	-0.11	5.32亿	30.44	30.45	8.38%	112.06亿	63.34亿	30.56	30.38	30.79	30.35
300724	捷佳伟创	-2.06%	90.26	-1.90	13.08亿	90.25	90.26	18.04%	288.83亿	72.21亿	92.16	91.60	91.98	89.64
300741	华宝股份	-0.44%	18.11	-0.08	4093.97万	18.09	18.11	3.69%	111.54亿	11.15亿	18.19	18.17	18.19	17.88
300776	帝尔激光	-2.15%	59.04	-1.30	2.72亿	59.04	59.10	2.70%	161.77亿	99.21亿	60.34	60.11	60.93	59.01
300832	新产业	0.14%	59.30	0.08	9281.21万	59.30	59.33	0.23%	465.93亿	404.42亿	59.22	59.22	59.60	58.87
300850	新强联	-0.70%	47.10	-0.33	4.69亿	47.09	47.10	3.28%	195.03亿	141.67亿	47.43	47.15	48.36	46.82
300861	美畅股份	-0.47%	14.95	-0.07	6662.80万	14.94	14.95	1.06%	100.44亿	63.07亿	15.02	15.02	15.09	14.88
300866	安克创新	-0.72%	107.71	-0.78	4.21亿	107.68	107.71	1.28%	577.50亿	331.13亿	108.49	108.15	108.78	106.41
300869	康泰医学	1.26%	16.02	0.20	9823.72万	16.01	16.02	2.44%	64.37亿	40.59亿	15.82	15.80	16.28	15.66
300888	稳健医疗	-1.58%	38.11	-0.61	1.41亿	38.11	38.12	0.64%	221.93亿	220.92亿	38.72	38.76	38.80	38.05
301029	怡合达	-1.20%	26.24	-0.32	1.69亿	26.24	26.25	1.39%	166.41亿	121.20亿	26.56	26.53	26.56	26.16
600006	东风股份	-1.49%	7.25	-0.11	1.39亿	7.25	7.26	0.95%	145.00亿	145.00亿	7.36	7.33	7.35	7.24
600008	首创环保	-0.33%	3.02	-0.01	1.38亿	3.02	3.03	0.95%	145.58亿	145.58亿	3.03	3.03	3.03	3.01
600021	上海电力	1.24%	20.49	0.25	16.38亿	20.49	20.50	9.38%	536.26亿	175.36亿	20.24	20.20	20.62	20.11
600022	山东钢铁	-1.96%	1.50	-0.03	1.04亿	1.49	1.50	0.63%	164.20亿	164.20亿	1.53	1.53	1.53	1.49
600026	中远海能	0.71%	11.42	0.08	3.85亿	11.41	11.42	1.23%	312.45亿	312.45亿	11.34	11.40	11.46	11.34
600027	华电国际	0.00%	5.20	0.00	3.28亿	5.20	5.21	0.90%	423.58亿	363.78亿	5.20	5.19	5.26	5.17
600032	浙江新能	-0.82%	7.29	-0.06	5800.83万	7.28	7.29	0.00%	-	-	7.35	7.35	7.40	7.26
600038	中直股份	-1.27%	34.88	-0.45	2.49亿	34.87	34.88	1.21%	205.61亿	205.61亿	35.33	35.20	35.29	34.85
600056	中国医药	-1.38%	10.75	-0.15	1.32亿	10.75	10.76	1.21%	114.86亿	108.80亿	10.90	10.86	10.90	10.74
600060	海信视像	-1.37%	25.11	-0.35	1.99亿	25.11	25.12	0.60%	328.56亿	328.56亿	25.46	25.40	25.70	25.10
600062	华润双鹤	-0.59%	18.63	-0.11	8224.35万	18.63	18.64	0.53%	194.36亿	153.37亿	18.74	18.74	18.79	18.61
600064	南京高科	-1.29%	8.40	-0.11	1.28亿	8.39	8.40	1.23%	103.82亿	103.82亿	8.51	8.51	8.52	8.40
600066	宇通客车	0.09%	32.30	0.03	2.65亿	32.29	32.30	0.37%	715.10亿	715.10亿	32.27	32.30	32.48	32.01
600079	人福医药	-4.16%	17.74	-0.77	9.50亿	17.74	17.75	4.11%	240.15亿	228.15亿	18.51	18.50	18.50	17.69
600095	湘财股份	-1.97%	11.46	-0.23	4.27亿	11.46	11.47	10.28%	41.40亿	41.40亿	11.69	11.52	11.62	11.45
600096	云天化	-1.41%	30.85	-0.44	9.79亿	30.84	30.85	2.82%	407.65亿	346.18亿	31.29	31.13	31.25	30.71
600109	国金证券	-0.96%	9.26	-0.09	2.11亿	9.26	9.27	0.75%	280.06亿	280.06亿	9.35	9.30	9.35	9.24
600118	中国卫星	-0.61%	48.68	-0.30	46.98亿	48.67	48.68	8.17%	575.64亿	575.64亿	48.98	48.35	49.60	47.78
600126	杭钢股份	-0.71%	8.45	-0.06	3.12亿	8.45	8.46	3.04%	285.37亿	101.83亿	8.51	8.52	8.62	8.45
600131	国网信通	-1.40%	16.25	-0.23	9567.31万	16.25	16.26	1.43%	81.92亿	66.24亿	16.48	16.48	16.52	16.23
600141	兴发集团	-2.67%	32.11	-0.88	6.64亿	32.10	32.11	3.42%	233.50亿	192.94亿	32.99	32.71	32.99	31.87
600143	金发科技	-1.87%	18.32	-0.35	8.95亿	18.32	18.33	1.90%	497.71亿	468.99亿	18.67	18.57	18.69	18.26
600153	建发股份	-1.33%	9.67	-0.13	2.91亿	9.66	9.67	1.06%	274.16亿	274.16亿	9.80	9.79	9.79	9.61
600155	华创云信	-1.72%	6.86	-0.12	1.57亿	6.86	6.87	2.01%	119.33亿	77.40亿	6.98	6.94	6.95	6.86
600157	永泰能源	-1.82%	1.62	-0.03	8.69亿	1.62	1.63	4.27%	201.30亿	201.30亿	1.65	1.65	1.66	1.62
600160	巨化股份	2.66%	36.28	0.94	14.38亿	36.28	36.29	1.48%	995.95亿	964.47亿	35.34	35.44	36.95	35.29
600161	天坛生物	-0.82%	17.00	-0.14	1.29亿	17.00	17.01	0.86%	148.09亿	148.09亿	17.14	17.15	17.27	17.00
600166	福田汽车	-2.13%	2.76	-0.06	2.58亿	2.76	2.77	1.40%	184.10亿	184.10亿	2.82	2.81	2.82	2.75
600167	联美控股	-4.05%	7.59	-0.32	2.84亿	7.59	7.60	4.50%	133.59亿	62.37亿	7.91	7.81	7.83	7.59
600170	上海建工	-1.47%	2.69	-0.04	3.31亿	2.69	2.70	1.44%	239.53亿	228.30亿	2.73	2.72	2.73	2.69
600171	上海贝岭	1.18%	32.45	0.38	5.30亿	32.44	32.45	2.44%	227.02亿	218.65亿	32.07	32.06	32.74	31.80
600177	雅戈尔	-0.54%	7.42	-0.04	1.50亿	7.42	7.43	0.56%	265.74亿	265.74亿	7.46	7.46	7.48	7.41
600195	中牧股份	1.36%	8.20	0.11	1.97亿	8.20	8.21	3.96%	49.34亿	49.34亿	8.09	8.08	8.40	8.05
600201	生物股份	-0.21%	14.36	-0.03	6.40亿	14.36	14.37	3.92%	168.09亿	163.16亿	14.39	14.30	14.65	14.20
600208	衢州发展	-1.89%	4.16	-0.08	2.23亿	4.16	4.17	0.62%	357.73亿	357.68亿	4.24	4.22	4.22	4.14
600216	浙江医药	-0.72%	13.86	-0.10	7536.86万	13.86	13.87	0.57%	133.78亿	132.27亿	13.96	13.96	14.00	13.85
600258	首旅酒店	-3.99%	15.17	-0.63	2.78亿	15.16	15.17	2.90%	148.50亿	94.75亿	15.80	15.73	15.81	15.07
600259	广晟有色	-1.14%	52.69	-0.61	3.62亿	52.68	52.69	2.62%	159.02亿	138.11亿	53.30	53.00	53.60	52.34
